2025-02-03 12:36:37.782 [info] Extension host with pid 2712306 started
2025-02-03 12:36:37.786 [info] Lock '/home/iujeong/.vscode-server/data/User/workspaceStorage/d93eea3a3c3f435b3cabd9cc82da6704/vscode.lock': Lock acquired.
2025-02-03 12:36:37.982 [info] ExtensionService#_doActivateExtension vscode.ipynb, startup: false, activationEvent: 'onNotebookSerializer:jupyter-notebook'
2025-02-03 12:36:37.983 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onLanguage'
2025-02-03 12:36:37.983 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: false, activationEvent: '*', root cause: vscode.git
2025-02-03 12:36:37.983 [info] ExtensionService#_doActivateExtension vscode.tunnel-forwarding, startup: false, activationEvent: 'onTunnel'
2025-02-03 12:36:38.224 [info] ExtensionService#_doActivateExtension vscode.git, startup: false, activationEvent: '*'
2025-02-03 12:36:38.224 [info] ExtensionService#_doActivateExtension vscode.github, startup: false, activationEvent: '*'
2025-02-03 12:36:38.366 [info] Eager extensions activated
2025-02-03 12:36:38.366 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2025-02-03 12:36:38.366 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2025-02-03 12:36:38.366 [info] ExtensionService#_doActivateExtension ms-dotnettools.vscode-dotnet-runtime, startup: false, activationEvent: 'onStartupFinished'
2025-02-03 12:37:26.526 [info] ExtensionService#_doActivateExtension vscode.npm, startup: false, activationEvent: 'onTerminalQuickFixRequest:ms-vscode.npm-command'
2025-02-03 12:38:00.937 [info] ExtensionService#_doActivateExtension ms-python.python, startup: false, activationEvent: 'onLanguage:python', root cause: ms-python.debugpy
2025-02-03 12:38:01.014 [warning] Using default string since no string found in i18n bundle that has the key: Source map support is enabled in the Python Extension, this will adversely impact performance of the extension.
2025-02-03 12:38:01.014 [warning] Using default string since no string found in i18n bundle that has the key: Disable Source Map Support
2025-02-03 12:38:01.014 [warning] Using default string since no string found in i18n bundle that has the key: Enabling source map support in the Python Extension will adversely impact performance of the extension.
2025-02-03 12:38:01.014 [warning] Using default string since no string found in i18n bundle that has the key: Enable and reload Window.
2025-02-03 12:38:01.014 [warning] Using default string since no string found in i18n bundle that has the key: ▶ Launch TensorBoard Session
2025-02-03 12:38:01.014 [warning] Using default string since no string found in i18n bundle that has the key: Launch TensorBoard session
2025-02-03 12:38:01.139 [info] ExtensionService#_doActivateExtension ms-python.debugpy, startup: false, activationEvent: 'onLanguage:python'
2025-02-03 12:38:01.139 [info] ExtensionService#_doActivateExtension ms-python.vscode-pylance, startup: false, activationEvent: 'onLanguage:python'
2025-02-03 12:39:09.945 [info] ExtensionService#_doActivateExtension vscode.extension-editing, startup: false, activationEvent: 'onLanguage:markdown'
2025-02-03 12:39:09.945 [info] ExtensionService#_doActivateExtension vscode.markdown-language-features, startup: false, activationEvent: 'onLanguage:markdown'
2025-02-03 12:39:10.188 [info] ExtensionService#_doActivateExtension vscode.markdown-math, startup: false, activationEvent: 'api', root cause: vscode.markdown-language-features
2025-02-03 14:49:04.506 [info] Lock '/home/iujeong/.vscode-server/data/User/workspaceStorage/d93eea3a3c3f435b3cabd9cc82da6704/vscode.lock': The lock was lost unexpectedly.
2025-02-03 14:49:05.426 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:49:08.465 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:49:13.961 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:49:19.553 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:49:24.973 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:49:28.917 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:49:30.481 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:49:36.062 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:49:41.497 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:49:47.134 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:49:48.572 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:49:52.729 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:49:58.166 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:50:03.773 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:50:09.400 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:50:13.915 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:50:14.442 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:50:19.473 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:50:24.512 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:50:29.555 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:50:34.595 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:50:39.633 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:50:44.673 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:50:49.716 [warning] [Decorations] CAPPING events from decorations provider vscode.git 534
2025-02-03 14:50:54.657 [warning] [Decorations] CAPPING events from decorations provider vscode.git 534
2025-02-03 14:50:54.757 [warning] [Decorations] CAPPING events from decorations provider vscode.git 534
2025-02-03 14:50:59.798 [warning] [Decorations] CAPPING events from decorations provider vscode.git 534
2025-02-03 14:51:04.829 [warning] [Decorations] CAPPING events from decorations provider vscode.git 534
2025-02-03 14:51:07.636 [warning] [Decorations] CAPPING events from decorations provider vscode.git 534
2025-02-03 14:51:09.870 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:51:14.912 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:51:19.944 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:51:24.979 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:51:26.219 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:51:30.014 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:51:35.049 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
2025-02-03 14:51:38.938 [warning] [Decorations] CAPPING events from decorations provider vscode.git 533
